nobel_api_id,laureate_name,openlibrary_author_id,candidate_name,confidence,status
779,Aaron Ciechanover,OL10154187A,Aaron Ciechanover,0.25,review
779,Aaron Ciechanover,OL7208583A,Aaron J. Ciechanover,0.00,review
114,Abdus Salam,OL15035A,Abdus Salam,0.25,review
114,Abdus Salam,OL5632811A,Abdus Salam,0.25,review
114,Abdus Salam,OL6776328A,Abdus Salam.,0.25,review
114,Abdus Salam,OL560A,Abdus Salam Khurshid,0.00,review
114,Abdus Salam,OL5627A,Abdus Salam Salam Sandilvi,0.00,review
114,Abdus Salam,OL5375481A,Abdus Salam Mitul,0.00,review
114,Abdus Salam,OL7841386A,Md. Abdus Salam,0.00,review
114,Abdus Salam,OL102600A,Shaikh Abdus Salam,0.00,review
114,Abdus Salam,OL3292158A,M. Abdus Salam,0.00,review
114,Abdus Salam,OL11252422A,Abdus Salam Nomani,0.00,review
114,Abdus Salam,OL4416952A,Abdus Salam Harum,0.00,review
114,Abdus Salam,OL5533729A,Abdus Salam Molla,0.00,review
114,Abdus Salam,OL11534293A,Mustafa Abdus-Salam,0.00,review
114,Abdus Salam,OL14004851A,`Abdus Salam Nadavi,0.00,review
114,Abdus Salam,OL6128892A,Shah Abdus Salam,0.00,review
114,Abdus Salam,OL5964829A,Mohammed Abdus Salam,0.00,review
114,Abdus Salam,OL4982224A,Moh. Abdus Salam,0.00,review
114,Abdus Salam,OL5114342A,Abdus Salam Akhtar,0.00,review
114,Abdus Salam,OL13258643A,ʻAbduʹs-Salām Dihātī,0.00,review
114,Abdus Salam,OL13278046A,Abdus Salam Isapuri,0.00,review
199,Adolf Butenandt,OL7874358A,Adolf Butenandt,0.25,review
199,Adolf Butenandt,OL1677773A,Adolf Butenandt,0.25,review
853,Akira Suzuki,OL3088676A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL9135413A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL5263029A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL5171188A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL5695755A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL6287871A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL4709947A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL5371110A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL8750717A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL7045641A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL6812145A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL6820169A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL6820373A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL6820795A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL14150762A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL8572745A,Akira Suzuki,0.25,review
853,Akira Suzuki,OL9135397A,Mika Akitaka; Akira Suzuki,0.00,review
853,Akira Suzuki,OL1371211A,"Suzuki, Akira",0.00,review
853,Akira Suzuki,OL1689431A,"Suzuki, Akira",0.00,review
853,Akira Suzuki,OL10195187A,Suzuki Akira,0.00,review
978,Akira Yoshino,OL8986675A,Akira Yoshino,0.25,review
978,Akira Yoshino,OL643851A,Joe Akira Yoshino,0.00,review
978,Akira Yoshino,OL13925379A,Joe Akira Yoshino,0.00,review
1012,Alain Aspect,OL2759356A,Alain Aspect,0.25,review
729,Alan Heeger,OL6999287A,Alan J. Heeger,0.00,review
729,Alan Heeger,OL13097228A,Alan J. HEEGER,0.00,review
376,Alan Hodgkin,OL2766133A,Alan Hodgkin,0.25,review
376,Alan Hodgkin,OL14210138A,Jonathan Alan Hodgkin,0.00,review
376,Alan Hodgkin,OL5749743A,Alan Lloyd Hodgkin,0.00,review
